Issue Type,Issue key,Issue id,Summary,Reporter,Reporter Id,Priority,Status,Created,Updated,Description,Environment,Project key,Project name,Project type,Project lead,Project lead id,Project description,Creator,Creator Id
Bug,T12RFOP-508,29263,"Manage product - Unauthorized user is not redirected to the Login page after trying to access ""Add new product"" page link",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 9:54 PM,12/Jul/24 12:34 AM,"If unauthorized user has the “Add new product“ page URL link and tries to enter it, the user will be redirected to the “Login” page. Right now it redirects the user to “Browse Menu” page.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2


*Steps to reproduce:*

# Enter the “Add new product” page URL to your browser search bar ([https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/admin-manage-product-hrna|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/admin-manage-product-hrna]) and click enter
# Observe the result - user has landed on the “Browse Menu” page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/585439?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/585439?] 

*Actual result:* (x) Unauthorized user is redirected to the “Browse Menu” page upon trying to access the “Add new product” page URL

!Unauthorized_user_redirect_to_Login_page_fail.mp4|width=1568,height=1318,alt=""Unauthorized_user_redirect_to_Login_page_fail.mp4""!

*Expected result:* Unauthorized user is redirected to the “Login” page upon trying to access the “Add new product” page URL",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12RFOP-505,29260,Manage product - System does not show an error message when Name field exceeds 50 symbols,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 9:09 PM,12/Jul/24 12:33 AM,"If Product name exceeds 50 symbols, the following error message should appear: ""Product name cannot be longer than 50 symbols."" Right now, there is no error message shown.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2
Mozilla Firefox 126, Windows 10 Pro
Safari iOS 17.5.1

Bug is reproducible in all browsers

*Steps to reproduce:*

# Open Browse Menu page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|smart-link]
# Scroll down and find a link ”Access admin screen”
# Click on ”Access admin screen”
# Log in to admin account, if not already logged in. Click ”Log in” button
# When on Administration options page , click on ”Add new product” button
# On Manage product page find ”Name” field
# Click on the field and enter 51 symbols into the field
# Observe the result - no error message shown 

*Actual result:* (x) System does not show an error message when Name field exceeds 50 symbols

!productnameerror.png|width=602,height=214,alt=""productnameerror.png""!

*Expected result:* System shows an error message when Name field exceeds 50 symbols: ""Product name cannot be longer than 50 symbols.""",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12RFOP-501,29256,Manage product - System does not show an error message when incorrect file formats are uploaded to Image field,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 8:36 PM,12/Jul/24 12:32 AM,"If any other file type besides JPG and PNG is uploaded to Image field, the system shows an error: ""Incorrect image type. Please upload files in .jpg or .png format."" Currently, there is no error message shown.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2
Mozilla Firefox 126, Windows 10 Pro
Safari iOS 17.5.1

Bug is reproducible in all browsers

*Steps to reproduce:*

# Open Browse Menu page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|smart-link]
# Scroll down and find a link ”Access admin screen”
# Click on ”Access admin screen”
# Log in to admin account, if not already logged in. Click ”Log in” button
# When on Administration options page , click on ”Add new product” button
# On Manage product page scroll down to ”Image” section
# Click on “+Choose image“ button
# From the popup file explorer window choose a file that is not jpg/png and click Open
# Observe the result - image with wrong file format is added to the Image section and no error is shown

*Actual result:* (x) Image field does not show an error message when incorrect file formats are uploaded

!pastagif1.png|width=425,height=394,alt=""pastagif1.png""!

!pastagif2.png|width=245,height=215,alt=""pastagif2.png""!

*Expected result:* Image field shows the following error message when incorrect file formats are uploaded: ""Incorrect image type. Please upload files in .jpg or .png format."" ",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12RFOP-499,29250,Manage product - Image field allows to upload more than 1 picture,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 7:01 PM,12/Jul/24 12:30 AM,"The user should be able to select and upload only one picture to the Image field. The component must limit possibility to select multiple files. But at the moment more than 1 picture can be uploaded and the system does not prevent it.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2
Mozilla Firefox 126, Windows 10 Pro
Safari iOS 17.5.1

Bug is reproducible in all browsers

*Steps to reproduce:*

# Open Browse Menu page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|smart-link]
# Scroll down and find a link ”Access admin screen”
# Click on ”Access admin screen”
# Log in to admin account, if not already logged in. Click ”Log in” button
# When on Administration options page , click on ”Add new product” button
# On Manage product page scroll down to ”Image” section
# Click on “+Choose image“ button
# From the popup file explorer window choose more than 1 image and click Open
# Observe the result - more than 1 image have been uploaded to the Image section

*Actual result:* (x) More than 1 image can be selected and uploaded to the Image section

!imagefileamount.png|width=470,height=407,alt=""imagefileamount.png""!

*Expected result:* Only 1 image can be selected and uploaded to the Image section",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12RFOP-498,29249,Manage product - An unrequested SKU field exists,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 6:46 PM,12/Jul/24 12:29 AM,"SKU field is not requested, therefore it should not exist.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2
Mozilla Firefox 126, Windows 10 Pro
Safari iOS 17.5.1

Bug is reproducible in all browsers

*Steps to reproduce:*

# Open Browse Menu page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|smart-link]
# Scroll down and find a link ”Access admin screen”
# Click on ”Access admin screen”
# Log in to admin account, if not already logged in. Click ”Log in” button
# When on Administration options page , click on ”Add new product” button
# On Manage product page scroll down to ”SKU” field and observe it exists

*Actual result:* (x) SKU field exists on the Manage product page

!sku.png|width=276,height=161,alt=""sku.png""!

*Expected result:* SKU field does not exist on the Manage product page",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12RFOP-497,29248,"Manage product - Allergy information list is missing Gluten, Milk and Eggs options",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 6:37 PM,12/Jul/24 12:28 AM,"The following options are shown in the Allergy information list: Celery, Gluten, Eggs, Fish, Lupin, Milk, Molluscs, Mustard, Nuts, Sesame, Soybeans, Sulphur dioxide and sulphites. Right now Gluten, Milk and Eggs options are missing on the Manage product page.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2
Mozilla Firefox 126, Windows 10 Pro
Safari iOS 17.5.1

Bug is reproducible in all browsers

*Steps to reproduce:*

# Open Browse Menu page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|smart-link]
# Scroll down and find a link ”Access admin screen”
# Click on ”Access admin screen”
# Log in to admin account, if not already logged in. Click ”Log in” button
# When on Administration options page , click on ”Add new product” button
# On Manage product page scroll down to ”Allergy information” section
# Observe the multiselect element list and see Gluten, Eggs and Milk are not shown in the list

*Actual result:* (x) Gluten, Eggs and Milk options are not shown in the Allergy information list

!allergylist.png|width=231,height=266,alt=""allergylist.png""!

*Expected result:* Gluten, Eggs and Milk options are included in the Allergy information list",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12RFOP-495,29246,Manage product - Image field accepts other file formats besides jpg and png,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 5:34 PM,12/Jul/24 12:28 AM,"Only jpg and png files can be uploaded to the Image section. But the element allows to upload files like heif, bmp, webp and gif as well.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2
Mozilla Firefox 126, Windows 10 Pro
Safari iOS 17.5.1

Bug is reproducible in all browsers

*Steps to reproduce:*

# Open Browse Menu page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|smart-link]
# Scroll down and find a link ”Access admin screen”
# Click on ”Access admin screen”
# Log in to admin account, if not already logged in. Click ”Log in” button
# When on Administration options page , click on ”Add new product” button
# On Manage product page scroll down to ”Image” section
# Click on “+Choose image“ button
# From the popup file explorer window choose a file that is not jpg/png and click Open
# Observe the result - image with wrong file format is added to the Image section

*Actual result:* (x) Wrong file format can be added to the Image section

!pastagif1.png|width=41.66666666666667%,alt=""pastagif1.png""!

# Click “+Choose image” button
# Choose wrong file format(gif) image
# Click Open













!pastagif2.png|width=41.66666666666667%,alt=""pastagif2.png""!



# Wrong file format(gif) image is added













*Expected result:* Wrong file format can not be added to the Image section",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12RFOP-493,29243,"Manage product - Unit type has extra unnecessary options (gm,10”,12”)",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 4:55 AM,12/Jul/24 12:27 AM,"Unit type dropdown options are: “serve”, “ml”, “cl”, “litre”, “kg”, “small”, “medium”, “large”, “extra large”. There are some additional units in the list on the Manage product page that should not be there - gm,10”,12”.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2
Mozilla Firefox 126, Windows 10 Pro
Safari iOS 17.5.1

Bug is reproducible in all browsers

*Steps to reproduce:*

# Open Browse Menu page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|smart-link]
# Scroll down and find a link ”Access admin screen”
# Click on ”Access admin screen”
# Log in to admin account, if not already logged in. Click ”Log in” button
# When on Administration options page , click on ”Add new product” button
# On Manage product page scroll down to ”Unit type” section and click on it to see the dropdown menu

*Actual result:* (x) Unit type dropdown options are: “serve”, “ml”, “cl”, “litre”, “gm”, “kg”, “small”, “medium”, “large”, “extra large”, 10”, 12”

!unittype.png|width=222,height=231,alt=""unittype.png""!

*Expected result:* Unit type dropdown options are: “serve”, “ml”, “cl”, “litre”, “kg”, “small”, “medium”, “large”, “extra large”",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12RFOP-492,29242,Manage product - Highlight field doesn't have a dropdown menu,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 4:45 AM,12/Jul/24 12:23 AM,"“Highlight” field must have an optional dropdown menu. Right now it has a checkbox list.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2
Mozilla Firefox 126, Windows 10 Pro
Safari iOS 17.5.1

Bug is reproducible in all browsers

*Steps to reproduce:*

# Open Browse Menu page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|smart-link]
# Scroll down and find a link ”Access admin screen”
# Click on ”Access admin screen”
# Log in to admin account, if not already logged in. Click ”Log in” button
# When on Administration options page , click on ”Add new product” button
# On Manage product page scroll down to ”Highlight” section and observe the checkbox list

*Actual result:* (x) Highlight field has a checkbox list

!highlightlist.png|width=217,height=135,alt=""highlightlist.png""!

*Expected result:* Highlight field has a dropdown menu",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
Bug,T12RFOP-491,29241,"Manage product - ""Soups"" option is missing from the Category list",Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d,Critical,To Do,11/Jul/24 4:26 AM,12/Jul/24 12:22 AM,"“Soups” must be included in the Category dropdown menu.

*App version:* 0.0.3.

*Environment:*

Android 14 Samsung Internet 25.0.1.3
Chrome 126.0.6478.61, Windows 11 Home 23H2
Mozilla Firefox 126, Windows 10 Pro
Safari iOS 17.5.1

Bug is reproducible in all browsers

*Steps to reproduce:*

# Open Browse Menu page [https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|https://apps.fliplet.com/cerebrum-hub-my-food-ordering-full-fixed-ws-12-9928-26668/browse-menu-hrmv?|smart-link]
# Scroll down and find a link ”Access admin screen”
# Click on ”Access admin screen”
# Log in to admin account, if not already logged in. Click ”Log in” button
# When on Administration options page , click on ”Add new product” button
# On Manage product page scroll down to ”Category” section and click on it to see the dropdown menu

*Actual result:* (x) “Soups” option is not included in the Category dropdown menu

!nosoups.png|width=201,height=170,alt=""nosoups.png""!

*Expected result: “*Soups” option is included in the Category dropdown menu",,T12RFOP,T12. Restaurant Food Ordering Project,software,Cerebrum Hub,6202bc6d6ba61b006fb5463f,,Birgit Tikk,70121:251cca08-93e7-417a-82c2-0a142984426d
